YEAR,State,Total_Population,White_Alone_population,Black_Alone_population,American_Indian_or_Alaskan_Native_population,Asian_Alone_population,Not_Hispanic_population,Hispanic_poulation,Total_Victims,Total_Victims_with_Race,Black_total,White_total,Hispanic_total,Asian_total,Non_Hispanic_total
2016,TN,6646010,5231842,1135529,30117,119174,6295382,350628,22,21,3,16,1,1,NULL
2017,TN,6708799,5273129,1146784,30955,123575,6343951,364848,27,24,4,20,NULL,NULL,NULL
2018,TN,6771631,5315688,1156454,31845,128956,6392717,378914,25,24,9,14,1,NULL,NULL
2019,TN,6829174,5354405,1164461,32661,134076,6437792,391382,33,31,9,22,NULL,NULL,NULL
2015,TX,27470056,21901374,3438127,275352,1299892,16791874,10678182,100,100,20,46,32,1,NULL
2016,TX,27914410,22172579,3519315,279845,1362465,16995567,10918843,81,76,17,36,21,NULL,1
2017,TX,28295273,22392582,3595304,283854,1420351,17166616,11128657,69,63,17,22,23,1,NULL
2018,TX,28628666,22586138,3665172,289034,1464438,17304763,11323903,84,68,15,23,29,1,NULL
2019,TX,28995881,22806130,3739221,294902,1510470,17470303,11525578,108,90,21,41,26,2,NULL
2015,UT,2981835,2724698,39321,45788,71041,2575508,406327,10,10,NULL,9,1,NULL,NULL
2016,UT,3041868,2773420,41400,46783,74694,2621058,420810,8,8,NULL,8,NULL,NULL,NULL
2017,UT,3101042,2820762,43714,47832,78905,2665190,435852,6,6,1,2,3,NULL,NULL
2018,UT,3153550,2863101,45473,48665,82101,2704400,449150,19,19,3,10,4,NULL,2
2019,UT,3205958,2904132,47537,49720,85727,2743907,462051,12,11,2,6,3,NULL,NULL
2015,VA,8361808,5882171,1651274,44073,536707,7614153,747655,17,17,9,7,1,NULL,NULL
2016,VA,8410106,5893536,1662906,44764,553078,7639518,770588,17,17,8,8,1,NULL,NULL
2017,VA,8463587,5908557,1675859,45254,569226,7668525,795062,23,22,6,13,2,1,NULL
2018,VA,8501286,5916393,1686884,45861,579658,7684740,816546,18,18,12,6,NULL,NULL,NULL
2019,VA,8535519,5922648,1696911,46602,589710,7701097,834422,10,9,2,7,NULL,NULL,NULL
2015,VT,625216,592805,7836,2365,10573,614015,11201,1,1,NULL,1,NULL,NULL,NULL
2016,VT,623657,590279,8051,2384,11026,612031,11626,2,2,NULL,1,NULL,NULL,1
2017,VT,624344,589668,8317,2424,11799,612211,12133,1,1,NULL,1,NULL,NULL,NULL
2018,VT,624358,589147,8502,2436,11837,611854,12504,2,2,NULL,2,NULL,NULL,NULL
2019,VT,623989,588102,8774,2441,11964,611270,12719,3,3,NULL,3,NULL,NULL,NULL
2015,WA,7163657,5751619,292739,137661,606044,6286343,877314,16,16,NULL,12,1,2,1
2016,WA,7294771,5827356,302803,140596,634596,6384139,910632,26,24,4,13,3,1,3
2017,WA,7423362,5895462,313179,143721,667135,6481980,941382,38,30,8,14,4,2,2
2018,WA,7523869,5940550,322889,145384,697994,6557014,966855,23,17,NULL,12,4,1,NULL
2019,WA,7614893,5977696,331924,146799,727986,6623172,991721,36,31,8,12,8,2,1
2015,WI,5760940,5045983,381794,65094,160501,5385172,375768,11,11,2,7,2,NULL,NULL
2016,WI,5772628,5045904,384254,66093,165740,5387707,384921,17,17,5,12,NULL,NULL,NULL
2017,WI,5790186,5051222,387433,67079,170521,5396564,393622,24,24,5,15,NULL,1,3
2018,WI,5807406,5060128,389652,67794,172742,5402937,404469,13,11,3,7,NULL,NULL,1
2019,WI,5822434,5067781,390543,68628,175279,5409226,413208,18,18,3,11,3,1,NULL
2015,WV,1842050,1726430,65462,4426,15062,1814228,27822,10,8,2,6,NULL,NULL,NULL
2016,WV,1831023,1714557,65227,4493,15414,1802306,28717,12,11,1,10,NULL,NULL,NULL
2017,WV,1817004,1700408,64904,4516,15199,1787632,29372,11,9,1,8,NULL,NULL,NULL
2018,WV,1804291,1687369,64776,4529,14951,1773958,30333,7,6,2,4,NULL,NULL,NULL
2019,WV,1792147,1675122,64610,4585,14703,1760985,31162,13,12,2,9,NULL,1,NULL
2015,WY,585613,544435,7392,15830,5624,528619,56994,6,5,NULL,4,NULL,NULL,1
2016,WY,584215,542675,7326,15846,5831,526512,57703,2,2,NULL,1,1,NULL,NULL
2017,WY,578931,537032,7361,15768,6077,521312,57619,1,1,NULL,1,NULL,NULL,NULL
2018,WY,577601,534974,7401,15861,6314,519615,57986,4,4,NULL,3,1,NULL,NULL
2019,WY,578759,535371,7467,15778,6571,520150,58609,1,1,NULL,NULL,NULL,NULL,1
